"","STU_ID","X1PAR1EDU","X1PAR2EDU","X1MTHID","X2MTHID"
"432",10472,2,4,-1.73,-8
"433",10473,-8,-8,-8,-1.54
"434",10474,2,2,0.6,-0.42
"435",10475,3,4,0.6,0.7
"436",10476,-8,-8,0.6,0.7
"437",10477,2,2,-9,-9
"438",10478,2,-7,-1.13,-1.54
"439",10480,2,-7,-1.73,-9
"440",10481,4,3,0.6,0.7
"441",10483,5,2,-0.57,-1.54
"442",10484,-8,-8,0.06,-1.54
"443",10485,2,-7,0.6,1.82
"444",10486,4,4,-0.57,0.16
"445",10488,3,2,-9,-0.42
"446",10489,2,3,0,-0.42
"447",10490,-8,-8,-0.57,-1.54
"448",10491,1,2,0,-0.42
"449",10492,2,2,0.6,-0.42
"450",10493,2,-7,-0.57,-8
"451",10494,7,4,0.6,1.28
"452",10495,-8,-8,-9,-8
"453",10496,2,-7,0.6,0.12
"454",10497,-8,-8,-1.73,-8
"455",10498,2,3,0,1.24
"456",10499,5,4,0.6,0.7
"457",10500,3,-7,-0.57,-0.96
"458",10501,2,2,1.76,-0.42
"459",10502,2,4,1.76,1.82
"460",10503,4,3,-0.57,-8
"461",10504,-8,-8,0.6,1.82
"462",10505,4,2,-9,0.7
"463",10506,4,-7,1.76,0.7
"464",10507,-8,-8,-1.13,-1.54
"465",10508,-8,-8,-8,-9
"466",10509,-8,-8,-1.13,-1.54
"467",10510,-8,-8,0.6,0.7
"468",10511,2,2,1.76,1.82
"469",10512,2,1,0.6,1.82
"470",10513,2,-7,0.6,-8
"471",10514,2,-7,-1.73,0.7
"472",10515,3,2,-1.16,-0.42
"473",10516,-8,-8,0.03,-0.42
"474",10517,-8,-8,0.6,-8
"475",10518,2,2,0,-0.42
"476",10519,3,4,0.6,0.7
"477",10520,2,2,-0.57,-1.54
"478",10521,4,4,1.19,0.7
"479",10522,-8,-8,-8,0.7
"480",10523,3,3,1.16,0.7
"481",10524,-8,-8,-8,-1.54
"482",10525,-8,-8,-0.57,-1.54
"483",10526,-8,-8,-1.73,-1.54
"484",10527,-8,-8,1.16,-8
"485",10528,3,4,-1.73,-1.54
"486",10529,-8,-8,-8,0.7
"487",10530,4,4,-1.16,-1.54
"488",10531,-8,-8,-0.57,-0.42
"489",10532,2,-7,-0.57,-8
"490",10533,-8,-8,-8,-0.42
"491",10534,-8,-8,1.16,1.24
"492",10535,4,4,1.19,0.16
"493",10536,3,-7,-0.6,-8
"494",10537,-8,-8,-1.73,-8
"495",10538,-8,-8,-8,-1.54
"496",10540,4,3,1.76,0.12
"497",10541,-8,-8,-1.73,0.7
"498",10542,2,1,-0.57,0.7
"499",10543,-8,-8,-1.16,1.82
"500",10544,-8,-8,-0.57,-8
"501",10545,-8,-8,-1.73,0.12
"502",10546,4,3,0.6,0.7
"503",10547,2,2,-0.57,-0.96
"504",10548,-8,-8,1.16,-0.42
"505",10549,2,2,-1.73,-1.54
"506",10550,-8,-8,-8,0.12
"507",10551,2,2,1.76,1.24
"508",10552,-8,-8,1.16,0.7
"509",10553,2,2,1.76,0.75
"510",10554,2,-7,0.6,-0.42
"511",10555,-8,-8,-8,0.7
"512",10556,2,2,0.6,0.12
"513",10557,-8,-8,1.16,-8
"514",10558,1,1,0.6,-0.42
"515",10559,5,4,1.16,0.12
"516",10560,3,4,-0.57,0.7
"517",10561,2,2,0.56,-9
"518",10562,-8,-8,0,0.7
"519",10563,3,3,0.63,0.7
"520",10564,4,4,0.6,0.7
"521",10565,2,2,0,0.7
"522",10566,3,2,0.6,0.16
"523",10567,1,4,0.03,0.7
"524",10568,7,2,-8,0.7
"525",10569,2,2,-0.57,-0.96
"526",10570,2,-7,0,0.16
"527",10571,3,4,0.6,1.82
"528",10572,2,2,1.16,1.82
"529",10573,2,1,0.03,-0.42
"530",10574,7,-7,1.76,1.82
"531",10575,5,2,-0.53,-0.42
"532",10576,-8,-8,-0.57,0.7
"533",10577,-8,-8,-8,-0.42
"534",10578,2,-7,-0.57,-1.54
"535",10579,4,3,0.6,-1
"536",10580,4,2,1.76,1.28
"537",10581,-8,-8,-0.57,-8
"538",10582,2,5,0.6,1.24
"539",10583,2,2,1.76,1.82
"540",10585,-8,-8,-1.16,-8
"541",10586,-8,-8,-1.16,0.16
"542",10587,-8,-8,0.6,-8
"543",10588,4,4,1.76,0.7
"544",10589,4,4,1.19,1.28
"545",10590,4,2,-0.57,-0.42
"546",10591,4,3,1.16,0.12
"547",10592,4,4,0,-1.54
"548",10593,-8,-8,0.6,0.7
"549",10594,2,1,-0.57,-0.42
"550",10595,-8,-8,0.6,1.82
"551",10596,-8,-8,-1.73,-1.54
"552",10597,1,1,1.19,1.82
"553",10598,-8,-8,1.76,1.24
"554",10599,-8,-8,-1.73,-0.96
"555",10600,3,5,-0.57,-8
"556",10601,5,-7,0,-8
"557",10602,-8,-8,-1.73,-1.54
"558",10603,4,5,0.6,-0.42
"559",10604,4,4,1.76,1.24
"560",10605,2,2,-1.16,-8
"561",10606,1,1,-0.57,-1.54
"562",10607,2,-7,0.6,0.7
"563",10608,-8,-8,1.76,-8
"564",10609,4,4,0.56,1.24
"565",10610,2,-7,0.03,-0.42
"566",10611,4,4,0.6,0.16
"567",10612,3,3,1.19,0.7
"568",10613,5,2,0.6,1.82
"569",10614,4,2,-1.73,-1.54
"570",10615,2,2,0.6,0.7
"571",10616,4,3,-1.73,-0.42
"572",10617,-8,-8,0.6,0.7
"573",10618,-8,-8,-1.13,-8
"574",10619,-8,-8,1.76,1.82
"575",10620,-8,-8,-1.13,-1.54
"576",10621,5,4,-1.16,-1.54
"577",10622,-8,-8,0,0.12
"578",10623,2,4,-0.57,0.12
